
Name,Number,ageMin,ageMax,Day,Location,Openings,Date,Time,Fee,Description
Animation - Stop Motion ,1103440,8,14,Sun,Multnomah Arts Ctr,4,"April 7, 2019",1pm - 3pm,150,"April 7, 2019 to May 5, 2019 Sundays"
Animation - Stop Motion ,1104854,8,14,Sun,Multnomah Arts Ctr,7,"May 12, 2019",1pm - 3pm,120,"May 12, 2019 to June 9, 2019 Sundays"
Cartooning ,1103444,8,14,Thu,Multnomah Arts Ctr,9,"April 4, 2019",4:45pm - 6:15pm,100,"April 4, 2019 to May 2, 2019 Thursdays"
Cartooning,1103445,8,14,Thu,Multnomah Arts Ctr,10,"May 9, 2019",4:45pm - 6:15pm,100,"May 9, 2019 to June 6, 2019 Thursdays"
Cartooning ,1104847,8,14,Thu,Multnomah Arts Ctr,7,"April 4, 2019",3:30pm - 4:30pm,73,"April 4, 2019 to May 2, 2019 Thursdays"
Cartooning ,1104848,8,14,Thu,Multnomah Arts Ctr,10,"May 9, 2019",3:30pm - 4:30pm,73,"May 9, 2019 to June 6, 2019 Thursdays"
Drawing,1093254,13,18,Wed,Multnomah Arts Ctr,3,"April 10, 2019",1pm - 3:30pm,208,"April 10, 2019 to June 5, 2019 Wednesdays"
Drawing,1102900,0,100,Mon,East Portland Cmty Ctr,4,"April 1, 2019",9:30am - 11:30am,40,"April 1, 2019 to April 29, 2019 Mondays"
Drawing,1102930,0,100,Mon,East Portland Cmty Ctr,11,"May 6, 2019",9:30am - 11:30am,33,"May 6, 2019 to June 3, 2019 Mondays"
Drawing,1103599,0,100,Mon,East Portland Cmty Ctr,16,"June 17, 2019",9:30am - 11:30am,40,"June 17, 2019 to July 15, 2019 Mondays"
Drawing,1103609,0,100,Mon,East Portland Cmty Ctr,16,"July 22, 2019",9:30am - 11:30am,49,"July 22, 2019 to August 19, 2019 Mondays"
Drawing- Colored Pencil,1093256,13,18,Thu,Multnomah Arts Ctr,Waiting List,"April 11, 2019",9:30am - 12:30pm,242,"April 11, 2019 to June 6, 2019 Thursdays"
Drawing- Colored Pencil,1093257,13,18,Thu,Multnomah Arts Ctr,Waiting List,"April 11, 2019",1:30pm - 4:30pm,242,"April 11, 2019 to June 6, 2019 Thursdays"
Drawing - Fundamentals,1093258,13,18,Mon,Multnomah Arts Ctr,Waiting List,"April 1, 2019",7pm - 9:30pm,206,"April 1, 2019 to June 3, 2019 Mondays"
Drawing - Intermediate ,1093259,13,18,Thu,Multnomah Arts Ctr,Waiting List,"April 4, 2019",9:30am - 12pm,202,"April 4, 2019 to May 30, 2019 Thursdays"
Drawing Studio ,1103462,4,8,Mon,Multnomah Arts Ctr,8,"April 1, 2019",3:30pm - 4:30pm,73,"April 1, 2019 to April 29, 2019 Mondays"
Drawing Studio ,1103463,4,8,Mon,Multnomah Arts Ctr,9,"May 6, 2019",3:30pm - 4:30pm,58,"May 6, 2019 to June 3, 2019 Mondays"
Drawing Techniques ,1103464,8,14,Mon,Multnomah Arts Ctr,7,"April 1, 2019",4:45pm - 6:15pm,100,"April 1, 2019 to April 29, 2019 Mondays"
Drawing Techniques ,1103465,8,14,Mon,Multnomah Arts Ctr,10,"May 6, 2019",4:45pm - 6:15pm,80,"May 6, 2019 to June 3, 2019 Mondays"
Drawing Using the Right Side of the Brain ,1093261,13,18,Wed,Multnomah Arts Ctr,2,"April 10, 2019",9:30am - 12pm,202,"April 10, 2019 to June 5, 2019 Wednesdays"
Painting -Portrait Essentials III: Alla Prima ,1093293,13,18,Tue,Multnomah Arts Ctr,2,"April 2, 2019",9:30am - 12:30pm,297,"April 2, 2019 to June 4, 2019Tuesdays"
TeenForce - Art: Comics ,1103915,12,19,Fri,East Portland Cmty Ctr,19,"April 5, 2019",4pm - 6pm,0,"April 5, 2019 to June 7, 2019 Fridays"
TeenForce - Art: Comics Age ,1103926,12,19,Fri,East Portland Cmty Ctr,15,"June 21, 2019",4pm - 6pm,0,"June 21, 2019 to August 16, 2019 Fridays"
Watercolor & Mixed Media,1093319,13,18,Wed,Multnomah Arts Ctr,3,"April 3, 2019",12:30pm - 3pm,202,"April 3, 2019 to May 29, 2019 Wednesdays"
